"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0031424","keratinization",81,0.780627721522302,2.41390190075421,2.37627541310826e-17,1.50180606108442e-13,1.36073034182199e-13,2299,"tags=54%, list=7%, signal=51%","KRT16/KRT79/KRT83/SPRR1B/KRT6C/KRT78/KRT6A/KRT81/KLK5/KRT6B/SPRR2G/IVL/CASP14/KRT77/KRT85/LCE3D/SPRR4/CERS3/SPRR2D/LIPK/SPRR2E/KRT5/KRT4/KRT82/KRT86/SPRR2F/KRT3/LCE2A/LCE1A/CDH3/KRT17/TGM1/LCE1F/KRT75/KRT84/LCE3E/KRT72/KRT74/LCE1B/LCE3A/SPRR1A/LORICRIN/LIPM/SFN"
"GO:0060271","cilium assembly",406,-0.453767841576866,-2.02506477854576,2.46341332957678e-15,7.78438612146262e-12,7.05314132257772e-12,5437,"tags=35%, list=16%, signal=30%","B9D2/RAB3IP/DRC7/UBE2B/SNAP29/DYNC2I1/TTLL3/CFAP263/RABL2B/TXNDC15/BBS1/CCDC146/ELMOD3/LPAR1/TTC39C/IFT22/LRRC23/RAB11A/IFT122/DYNC2LI1/KIF3B/DNAH12/RPGR/HYDIN/TEKT3/CFAP54/TRAF3IP1/IFT43/INTU/MAK/CFAP157/DNAJB13/RABEP2/BBIP1/CEP290/CCDC13/EHD2/CPLANE2/RILPL2/FUZ/CFAP206/CCDC57/ARHGAP35/CCDC39/CEP120/IFT70B/ZMYND12/PCM1/ODAD2/TCTN2/DNAI2/DRC2/KIF3A/WDR90/ARMC9/PIERCE2/ARL3/SPATA6/DNAAF4/CFAP119/STK36/JHY/DNAI4/CDC14A/IFT88/BBS5/RAB11FIP3/TBC1D30/TOGARAM1/TEKT5/WDR19/IFT46/ODAD1/TCTN1/DYNC2H1/CELSR2/TAPT1/CFAP44/CFAP221/LRGUK/TTC12/ODAD4/BBS4/DNAL1/LIMA1/CCDC159/IFT140/HOATZ/TTC8/MACIR/CFAP53/DNAI3/PLA2G3/TEKT4/DNMBP/DRC1/RSPH4A/CCDC40/CFAP65/TEKT2/NEURL1/SPEF2/ODAD3/CFAP91/RAB17/BBOF1/CFAP70/DNAAF11/DNAAF8/CFAP184/DNAH7/CFAP43/CEP126/DNAI1/FOXJ1/CFAP69/DCDC2/PIERCE1/DNAAF6/MCIDAS/NME5/SPAG17/IQUB/RSPH1/ABLIM3/DNAH5/LRRC46/CCNO/KCNF1/DNAAF3/RP1/TEKT1/DNAAF1/CFAP57/ERICH3/CFAP61/UBXN10/CFAP46/SPEF1/ZMYND10/DNALI1/SPAG6"
"GO:0044782","cilium organization",439,-0.427269891147107,-1.96492995278816,2.57665330569432e-14,5.4281496306627e-11,4.91824350279898e-11,5437,"tags=36%, list=16%, signal=30%","B9D2/RAB3IP/DRC7/UBE2B/SNAP29/DYNC2I1/TTLL3/CFAP263/RABL2B/TXNDC15/BBS1/CCDC146/ELMOD3/LPAR1/TTC39C/IFT22/LRRC23/RAB11A/IFT122/DYNC2LI1/KIF3B/CFAP126/DNAH12/RPGR/HYDIN/CCDC32/TEKT3/LRRC49/CFAP54/TRAF3IP1/IFT43/INTU/CCDC88C/MAK/CFAP157/DNAJB13/RABEP2/BBIP1/CEP290/CCDC13/EHD2/CPLANE2/RILPL2/FUZ/CFAP206/CCDC57/ARHGAP35/CCDC39/LCA5/CEP120/IFT70B/ZMYND12/PCM1/ODAD2/TCTN2/DNAI2/DRC2/KIF3A/WDR90/ARMC9/PIERCE2/TTC21A/ARL3/SPATA6/DNAAF4/CFAP119/STK36/JHY/DNAI4/NECTIN2/CDC14A/IFT88/BBS5/RAB11FIP3/TBC1D30/TOGARAM1/TEKT5/IFT70A/WDR19/IFT46/ODAD1/TCTN1/DYNC2H1/LCA5L/CELSR2/TAPT1/CFAP44/CFAP221/LRGUK/TTC12/ODAD4/BBS4/DNAL1/LIMA1/CCDC159/IFT140/CIMAP3/HOATZ/TTC8/MACIR/CFAP53/DNAI3/PLA2G3/TEKT4/DNMBP/DRC1/NHERF1/RSPH4A/TTC29/CCDC40/CFAP65/TEKT2/NEURL1/SPEF2/ODAD3/FAM161B/CFAP91/RAB17/BBOF1/CFAP70/DNAAF11/DNAAF8/CFAP184/DNAH7/CFAP43/CEP126/DNAI1/FOXJ1/CFAP69/DCDC2/PIERCE1/DNAAF6/MCIDAS/NME5/SPAG17/IQUB/CATIP/RSPH1/ABLIM3/DNAH5/LRRC46/CCNO/KCNF1/DNAAF3/RP1/TEKT1/DNAAF1/CFAP57/ERICH3/CFAP61/UBXN10/CFAP46/SPEF1/ZMYND10/DNALI1/SPAG6"
"GO:0008544","epidermis development",401,0.522443441467386,1.85592688403126,3.67204938636361e-13,5.8018380304545e-10,5.25682859521527e-10,5863,"tags=35%, list=17%, signal=30%","KRT16/KRT79/KRT83/SPRR1B/KRT6C/KRT34/KRT78/PAX6/KRT6A/SCEL/KRT81/KLK5/KRT6B/KRT9/KLK7/SPRR2G/IVL/CASP14/FOXC1/KRT77/KRT85/LGR5/BNC1/LCE3D/FERMT1/SPRR4/PKP1/CDKN2A/KRTDAP/CERS3/SPRR2D/POU3F2/EGFR/GAL/LIPK/SPINK5/SPRR2E/FOXI3/KRT5/GJB5/KRT4/KRT82/EDAR/KRT86/SPRR2F/KRT3/LCE2A/KRT14/TGM5/MET/LHX2/LCE1A/FABP5/SOSTDC1/CDH3/KRT17/TGM1/LCE1F/KRT75/KRT84/USH1C/TMEM132E/KLK14/KPRP/LCE3E/KRT72/KPLCE/FOXQ1/DKK1/TMC1/IL17A/WNT10A/KRT74/CALML5/LCE1B/CLDN1/OVOL3/FLG2/SOX21/LCE3A/SLC39A2/S100A7/SPRR1A/ATOH1/LORICRIN/LIPM/SFN/STMN1/TNF/ZBED2/EZH2/ALX4/PLOD1/YBX1/CYP26B1/SMO/LAMC2/ZNF750/GATA6/LAMB3/LCE5A/ETV4/NOTCH1/DCT/GRHL3/PPARA/KRT76/MYCN/ANXA1/BCL11B/PLOD3/HRNR/SPRR3/SOX9/HEY2/TFDP1/SNAI1/VANGL2/CSTA/ST14/PTCH1/GRHL1/HDAC2/LIPN/EPHA2/WNT10B/KRT7/ALOX12B/MACROH2A2/LSR/PITX2/CD109/HPSE/OPN3/DSG4/GRXCR1/FLG/KRT2/SPRR5/LHFPL5/SPRR2B"
"GO:0030216","keratinocyte differentiation",179,0.612278514625056,2.06452480859762,1.14303934932971e-12,1.44480173755275e-09,1.30908085481128e-09,6321,"tags=46%, list=18%, signal=38%","KRT16/KRT79/KRT83/SPRR1B/KRT6C/KRT78/PAX6/KRT6A/SCEL/KRT81/KLK5/KRT6B/SPRR2G/IVL/CASP14/FOXC1/KRT77/KRT85/LCE3D/SPRR4/PKP1/CDKN2A/CERS3/SPRR2D/LIPK/SPRR2E/KRT5/KRT4/KRT82/KRT86/SPRR2F/KRT3/LCE2A/KRT14/LCE1A/CDH3/KRT17/TGM1/LCE1F/KRT75/KRT84/LCE3E/KRT72/IL17A/KRT74/LCE1B/OVOL3/LCE3A/SLC39A2/S100A7/SPRR1A/LORICRIN/LIPM/SFN/ZBED2/EZH2/CYP26B1/LCE5A/ETV4/NOTCH1/KRT76/ANXA1/BCL11B/HRNR/SPRR3/CSTA/ST14/GRHL1/LIPN/EPHA2/KRT7/MACROH2A2/CD109/OPN3/DSG4/FLG/KRT2/SPRR5/SPRR2B/TFAP2C/KRT71/LCE1C/TRIM16"
"GO:0043588","skin development",328,0.540645941153669,1.89659416229998,1.63430481044116e-12,1.72146773366469e-09,1.55975757347367e-09,5863,"tags=37%, list=17%, signal=31%","KRT16/KRT79/KRT83/SPRR1B/KRT6C/KRT78/PAX6/KRT6A/SCEL/KRT81/KLK5/KRT6B/KRT9/SPRR2G/IVL/CASP14/FOXC1/KRT77/KRT85/LGR5/LCE3D/FERMT1/SPRR4/PKP1/CDKN2A/CERS3/SPRR2D/EGFR/GAL/LIPK/SPINK5/SPRR2E/FOXI3/KRT5/KRT4/KRT82/EDAR/KRT86/SPRR2F/KRT3/LCE2A/KRT14/MET/LHX2/LCE1A/SOSTDC1/CDH3/KRT17/TGM1/LCE1F/KRT75/KRT84/KPRP/LCE3E/KRT72/FOXQ1/DKK1/IL17A/WNT10A/RYR1/KRT74/LCE1B/SLITRK5/CLDN1/OVOL3/FLG2/SOX21/LCE3A/SLC39A2/S100A7/SPRR1A/LORICRIN/LIPM/SFN/STMN1/TNF/ZBED2/EZH2/ALX4/CYP26B1/SMO/ZNF750/GATA6/LCE5A/TNFSF13B/ETV4/NOTCH1/GRHL3/RIPK4/KRT76/DACT2/ANXA1/BCL11B/ITGA6/HRNR/SPRR3/SOX9/LTB/SNAI1/VANGL2/CSTA/ST14/GRHL1/HDAC2/LIPN/EPHA2/WNT10B/KRT7/ITGB4/ALOX12B/MACROH2A2/LSR/CD109/HPSE/OPN3/DSG4/FLG/KRT2/SPRR5/SPRR2B"
"GO:0003341","cilium movement",268,-0.465881132587964,-2.03665875841108,1.03295813928084e-11,9.32613634322132e-09,8.45006357547035e-09,3293,"tags=36%, list=10%, signal=33%","ODAD2/EFHB/DNAI2/DRC2/PIERCE2/TTC21A/KATNIP/DNAAF4/CFAP119/STK36/KIAA0319L/JHY/SLC9C1/GAS2L2/DNAI4/EFHC1/LZTFL1/CFAP52/TEKT5/CYB5D1/ODAD1/TTLL6/DYNC2H1/SPAG8/CELSR2/DNAH6/CFAP144/CFAP44/CFAP221/TTC12/SPA17/ODAD4/BBS4/CCR6/CCDC159/CFAP276/CELF3/SORD/HOATZ/CFAP53/DNAI3/PLA2G3/TACR3/TLE6/PGK2/TEKT4/ARMC3/DRC1/RIBC1/NHERF1/RSPH4A/TTC29/CCDC40/CFAP65/TEKT2/NEURL1/SPEF2/EFCAB6/ODAD3/CFAP210/CFAP91/CFAP141/DNAH9/CFAP45/BBOF1/CFAP70/DNAAF11/TMEM232/DNAH7/CFAP43/DNAI1/CFAP69/TTLL9/PIERCE1/DNAAF6/NME5/SPAG17/IQUB/CFAP107/CFAP90/DNAH5/TAC1/LRRC46/DNAAF3/TEKT1/DNAAF1/CFAP57/CFAP77/CFAP61/ROPN1L/CFAP46/SPEF1/ZMYND10/DNALI1/SPAG6/ATP1A4/NEK10"
"GO:0000280","nuclear division",452,0.494221606292747,1.76125761602861,1.43180504784585e-11,1.13112598779822e-08,1.02487098161598e-08,8516,"tags=40%, list=25%, signal=31%","HORMAD1/TEX15/DMRT1/STRA8/MAEL/RBM46/ASZ1/CCNE1/OOEP/PSMA8/IL1A/ANKLE1/DAZL/TDRD12/CCNA1/DNMT3L/CDCA2/CDC20/PRDM9/NPM2/MYBL2/AURKB/TTK/KIF2C/EPGN/NDC80/CDCA8/TGFA/MEIOB/ANLN/UBE2C/SKA1/PLK1/RAD54L/BIRC5/TPX2/MND1/KIF18B/KIF14/BUB1/CCNB2/FANCA/TRIP13/ASPM/RAD51AP1/HFM1/HASPIN/SGO1/CHEK1/KIFC1/NFIB/SKA3/NUF2/DLGAP5/NCAPG/CDT1/PTTG1/NANOS2/MKI67/FGF8/CENPF/MYBL1/NCAPH/TNF/GPR3/BRME1/KIF15/KIF18A/SHCBP1L/KIF4A/NCAPD2/CENPE/SYCE1L/AURKA/KIF23/CYP26B1/CDC25B/CENPI/BUB1B/MEIOC/DRD3/SPC24/PSRC1/CDK1/MAD2L1/STAG3/UBE2S/MTBP/KASH5/RAD51/PRAP1/SPHK1/CKS2/SPATA22/FBXO5/KIF11/BMP7/LIF/KNL1/ESPL1/NEK2/MASTL/SPAG5/CHEK2/INCENP/CCNB1/NCAPG2/PRC1/BORA/RAD54B/TOP2A/KIF25/USP44/RANBP1/BRCA2/CHMP4C/BTC/DDX4/CCNE2/MEIOSIN/KNSTRN/CDC25C/SMC4/RAD51B/EML4/PRICKLE1/PKMYT1/EDN3/RCC1/UHRF1/SPC25/KLHDC3/CDC14C/EDN1/MAD1L1/BRIP1/GEN1/SPDYA/MAJIN/SPDL1/TEX12/CCSAP/DCAF13/FBXO43/EME1/FANCD2/RACGAP1/TENT4A/SEH1L/ZWINT/HOXA13/RNF212/CCNB1IP1/MAD2L2/PTTG2/FLNA/KIF20B/TRIM75/CAV2/CALR/NDC1/FIGNL1/ANKRD53/DMC1/KIF4B/PTTG3P/CENPK/PINX1/MEI1/RAD21/ZWILCH/KCTD19/HSF1/IL1B/CCDC86/PDE3A/NCAPD3/NCAPH2/SMC2/RRS1/BTBD18"
"GO:0007059","chromosome segregation",432,0.478873312788402,1.70290186561864,2.62669223364346e-10,1.84452165740297e-07,1.67125213462227e-07,8509,"tags=35%, list=25%, signal=27%","HORMAD1/TEX15/MAEL/CCNE1/LOC100533997/CENPW/CDCA2/CDC20/PRDM9/MYBL2/AURKB/TTK/KIF2C/NDC80/FAM83D/CDCA8/MEIOB/UBE2C/SKA1/PLK1/BIRC5/TPX2/MND1/KIF18B/KIF14/BUB1/CCNB2/TRIP13/HJURP/ASPM/HASPIN/SGO1/KIFC1/SKA3/NUF2/DLGAP5/NCAPG/CDT1/PTTG1/DIAPH3/CENPN/MKI67/STIL/CENPF/NCAPH/DPF3/KIF15/KIF18A/KIF4A/NCAPD2/CENPE/GPSM2/SYCE1L/AURKA/KIF23/CENPI/BUB1B/MEIOC/SPC24/PSRC1/CDK1/MAD2L1/STAG3/KASH5/PRAP1/SRPK1/SPATA22/FBXO5/KIF11/HAUS7/KNL1/OIP5/ESPL1/NEK2/CENPO/SPAG5/CHEK2/INCENP/CCNB1/NCAPG2/PRC1/TACC3/TOP2A/CENPM/KIF25/CENPL/USP44/CHMP4C/CCNE2/KNSTRN/SMC4/PLSCR1/EML4/PRICKLE1/SGO2/TUBB/CDC6/RCC1/UHRF1/SPC25/HAUS8/MAD1L1/BRIP1/FIRRM/GEN1/SPDYA/MAJIN/SPDL1/TEX12/CCSAP/RMI2/DCAF13/FANCD2/RACGAP1/TENT4A/MAPRE2/SEH1L/ZWINT/ESCO2/RNF212/CENPU/CCNB1IP1/HAUS6/ECT2/MAD2L2/PTTG2/FLNA/RCC2/NDC1/MIS18A/DPF1/TUBGCP3/HAUS5/ANKRD53/DMC1/CPAP/ACTL6A/KIF4B/PTTG3P/CENPK/PINX1/SMC6/RAD21/CSNK2A2/ZWILCH/TTL/SASS6/CCDC86/RAD21L1/NCAPD3/NCAPH2/SMC2/RRS1"
"GO:0035082","axoneme assembly",107,-0.606072253112297,-2.35315444831264,4.75927484221401e-10,3.00786170027925e-07,2.72531106754149e-07,4218,"tags=51%, list=12%, signal=45%","CFAP157/DNAJB13/CPLANE2/CFAP206/CCDC39/ZMYND12/ODAD2/DNAI2/DRC2/PIERCE2/DNAAF4/STK36/JHY/DNAI4/TOGARAM1/ODAD1/CFAP44/LRGUK/TTC12/ODAD4/DNAL1/HOATZ/DNAI3/PLA2G3/DRC1/RSPH4A/CCDC40/CFAP65/TEKT2/NEURL1/SPEF2/ODAD3/CFAP91/BBOF1/DNAAF11/DNAAF8/DNAH7/CFAP43/DNAI1/FOXJ1/CFAP69/PIERCE1/DNAAF6/SPAG17/RSPH1/DNAH5/LRRC46/DNAAF3/RP1/DNAAF1/CFAP57/CFAP46/SPEF1/ZMYND10/SPAG6"
